iter	RMSE
0	2.847824525
1	2.625296052
2	2.474028421
3	2.37391082
4	2.307908759
5	2.259257048
6	2.225163956
7	2.200227383
8	2.180141482
9	2.167831028
10	2.156405518
11	2.149734723
12	2.137167658
13	2.127512458
14	2.123533436
15	2.11856863
16	2.112263244
17	2.106376512
18	2.101101466
19	2.097158285
20	2.092601866
21	2.090772766
22	2.087707357
23	2.086087044
24	2.082192212
25	2.079481242
26	2.077763776
27	2.075606191
28	2.073331276
29	2.07173008
30	2.069620277
31	2.068005421
32	2.067569885
33	2.066482459
34	2.064900778
35	2.063337133
36	2.061991866
37	2.060647316
38	2.058751889
39	2.058014855
40	2.057223602
41	2.056585727
42	2.055927147
43	2.054097388
44	2.052488967
45	2.051329009
46	2.050932837
47	2.050600408
48	2.049437757
49	2.047877559
50	2.046952856
51	2.045885661
52	2.044870266
53	2.043899553
54	2.042536612
55	2.041277782
56	2.040621139
57	2.039609701
58	2.03890986
59	2.03795286
60	2.036922972
61	2.03641012
62	2.035436968
63	2.034223685
64	2.033428329
65	2.033215739
66	2.032641961
67	2.031875399
68	2.030672118
69	2.029881795
70	2.028896018
71	2.028071155
72	2.027676572
73	2.02745809
74	2.026520175
75	2.025582038
76	2.025112838
77	2.024832655
78	2.024331488
79	2.023638566
80	2.023134477
81	2.022723675
82	2.021988104
83	2.021738663
84	2.021082348
85	2.020927129
86	2.020456529
87	2.019888374
88	2.019166641
89	2.018449876
90	2.017770362
91	2.016947366
92	2.016237754
93	2.01580578
94	2.015199647
95	2.015082816
96	2.014627394
97	2.01452271
98	2.013842616
99	2.013121228
100	2.012970153
101	2.012202545
102	2.011565768
103	2.010910604
104	2.010560624
105	2.009959798
106	2.009386609
107	2.008933865
108	2.008570783
109	2.008148957
110	2.007478062
111	2.007346775
112	2.007178992
113	2.006665127
114	2.006093814
115	2.005643685
116	2.005128841
117	2.004585161
118	2.004126378
119	2.003446095
120	2.00294227
121	2.00254335
122	2.002424346
123	2.002068091
124	2.001469162
125	2.000992143
126	2.000298109
127	1.999786724
128	1.999261164
129	1.998802572
130	1.998127482
131	1.997620653
132	1.996957566
133	1.99640272
134	1.995985692
135	1.995559171
136	1.995392339
137	1.995151684
138	1.995012611
139	1.994528916
140	1.99415554
141	1.993955081
142	1.99370251
143	1.993152461
144	1.992888314
145	1.992320571
146	1.992219056
147	1.991802202
148	1.991710885
149	1.991258064
